이름,날짜,username,id,팔로우 수,팔로워 수,게시물 수,website,profile picture url,biography,fetch time,좋아요 수,댓글 수,순위,참여도,게시물 당 좋아요,게시물 당 댓글,팔로우 증감(수),팔로워 증감(수),게시물 증감(수),좋아요 증감(수),댓글 증감(수),순위 증감(수),참여도 증감(수),게시물 당 좋아요 증감(수),게시물 당 댓글 증감(수),팔로우 증감(%),팔로워 증감(%),게시물 증감(%),좋아요 증감(%),댓글 증감(%),순위 증감(%),참여도 증감(%),게시물 당 좋아요 증감(%),게시물 당 댓글 증감(%)
퍼플독ㅣPurpleDog,2022-09-27,purpledog_official,17841407847590324,72,3416,69,http://www.purpledog.co.kr/,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/185509140_516680693034587_2493003973259871483_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=86c713&_nc_ohc=wM_FkgoLXgIAX9MTl8a&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-RQ44FaLKRIyCzW7mGZD0QliGPoQOj8nmo93dQvdR7Cg&oe=6336B53A,"_Winebutlerservice
당신의 소울와인을 찾아 집까지 보내드립니다🍷
 
🔽 내 와인 취향 찾기",2022-09-27 14:51:36.124,1623,312,12,56.64519906323185,23.52173913043478,4.521739130434782,,,,,,,,,,,,,,,,,,
Wine Folly,2022-09-27,winefolly,17841400935520240,1345,406149,3624,https://shopgr.id/winefolly,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/291099809_171986275292869_6693348921069921448_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=86c713&_nc_ohc=KVTI7_gw4bsAX8egpxr&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9uel-LBORoaITmOmSzVEg2UXdr_K3cl-0v5vATa6_IlA&oe=6337CA3D,"Wine EDU. But make it fun!
The #1 site for learning about #wine for beginners and beyond. Join the wine education newsletter, & get 50% off Wine 101!",2022-09-27 14:51:36.124,65191,2217,1,16.596864697438626,17.988686534216335,0.6117549668874173,,,,,,,,,,,,,,,,,,
테이스팅 와인샵 와인도어,2022-09-27,winedoor_official,17841444742294852,337,3495,409,https://www.youtube.com/channel/UCU4oFiZc7x8DqlkFeJOO31w,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/131377722_143680620657318_7773077553056580665_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=86c713&_nc_ohc=D9S7jlujiTUAX_yggyA&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9eCmh1tG09U4walr6IHqGAslfPaxJSo0Vt3xjqUt-2jA&oe=63386276,"19년간 와인업계에 종사하신 대표님께서 리스트를 선정하고 8종 이상의 와인을 매일 시음할수 있는 ‘전문 테이스팅 와인샵’ 입니다.
✉️ DM 문의는 받지 않습니다 
📞 예약 010-6389-4908
🗝 비즈니스: Winedoor@naver.com
📺 유투브채널↓",2022-09-27 14:51:36.124,5247,62,10,151.90271816881258,12.82885085574572,0.15158924205378974,,,,,,,,,,,,,,,,,,
와프너 | wapener,2022-09-27,wapener,17841444965924426,2,3791,231,https://linktr.ee/wapener,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/278281463_542447847213549_676763277042173322_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=86c713&_nc_ohc=lVFE-zNMoxMAX_WliME&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_mwOCePV9mUaTlUi_4CDqvutlEl4QWIf5rhQU3hc2FgQ&oe=6337A6FE,"취향 기반 와인 소셜 커뮤니티 앱 
[와프너] 공식 계정입니다🍷",2022-09-27 14:51:36.124,1745,128,8,49.40648905302031,7.554112554112554,0.5541125541125541,,,,,,,,,,,,,,,,,,
winebook_official,2022-09-28,winebook_official,17841447684956802,342,3743,492,http://www.winebook.co.kr/,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/204724489_155824759872357_7579385208215269792_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=86c713&_nc_ohc=5FY9FEdLAdAAX_UpBgT&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8KRsdASQwH2ynAfGNaGkJAlpjZzAY7TkdYNgRZNKArAA&oe=63391425,"Winebook Club, Book Your Wine
테이스팅 신청하기
⬇️⬇️⬇️⬇️⬇️",2022-09-28 16:37:40.352,3021,334,9,89.63398343574673,6.140243902439025,0.6788617886178862,,,,,,,,,,,,,,,,,,
와인21 @wine21.com,2022-09-28,wine21_korea,17841401765469832,3041,12052,925,https://linktr.ee/Wine21,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/249334667_585773885977785_3652660761559161739_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=86c713&_nc_ohc=Rh-yFemRJLUAX80UC8O&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_7n1BjWqjW-RhXVexgJLBCLxqSzxeuynFrw8oDUclYeQ&oe=6338463A,,2022-09-28 16:37:40.352,6477,674,3,59.334550282110854,7.002162162162162,0.7286486486486486,,,,,,,,,,,,,,,,,,
와인소셜,2022-09-28,winesocial_dosan,17841449777938336,2,5230,153,https://linktr.ee/winesocial_dosan,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/286409148_125916113235460_6740749973920539329_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=86c713&_nc_ohc=_jaXq6d_h0IAX9VpTgc&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-0bwhSU8JelS8bUf49GuZaJAL-_I8IySrqXZXytjSQOA&oe=633942BA,"와인 문화공간, 와인소셜🍷
수-토 2pm-10pm 일요일 2pm- 9pm(월화 휴무)
예약하러가기 👇👇",2022-09-28 16:37:40.352,2097,86,6,41.73996175908222,13.705882352941176,0.5620915032679739,,,,,,,,,,,,,,,,,,
와인비전 Winevision,2022-09-28,winevision,17841402382140592,1522,7689,2964,https://linktr.ee/winevision,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/211538249_1160785267774819_860451889963129583_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=86c713&_nc_ohc=prygqyUS0tUAX8lLibD&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9-OYsvQfGvagk7gwn57cDKLOU4FYIQRJ0y_IjvKRc4Wg&oe=6339A154,"#와인비전 #와인스타그램 #와인클래스 
🍷삶에 새로운 언어를 더하는 와인비전🍷
와인 교육, 와인 이벤트, 와인 시음회 정보 
↓↓↓아래 프로필 링크 클릭!",2022-09-28 16:37:40.352,1493,16,5,19.62543893874366,0.5037112010796221,0.005398110661268556,,,,,,,,,,,,,,,,,,
와프너 | wapener,2022-09-28,wapener,17841444965924426,2,3791,231,https://linktr.ee/wapener,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/278281463_542447847213549_676763277042173322_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=86c713&_nc_ohc=lVFE-zNMoxMAX-WIuAk&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-Jy-h4RW8oov8zUlHwczRYRLacSKnConsVvnYaOwQyQA&oe=6339A13E,"취향 기반 와인 소셜 커뮤니티 앱 
[와프너] 공식 계정입니다🍷",2022-09-28 16:37:40.352,1746,128,8,49.43286731733052,7.558441558441558,0.5541125541125541,,,,,,,,,,,,,,,,,,
나라셀라 • NARA CELLAR,2022-09-28,naracellar,17841405690478812,102,9030,473,https://naracellar.com/,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/139566720_1507129532819956_3674880356484992410_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=UGXkQoV4gWEAX_tcqmr&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8py_NIWzWSRi_ip-bkqd203gx3O4pHhiBxQLpxMI61sg&oe=6339CD8C,"와인 문화를 선도하는 기업, 나라셀라 공식 인스타그램 계정입니다",2022-09-28 16:37:40.352,2907,98,4,33.27796234772979,6.145877378435518,0.20718816067653276,,,,,,,,,,,,,,,,,,
주류학개론,2022-09-28,juryuhak,17841445525754876,0,15524,98,https://youtube.com/c/juryuhak,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/139639356_862042224608666_6413119311707306727_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=ff6pZvQ3EfkAX_8GDnq&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT83xfWeb5QW6fvwikxIM5r8yu358-W4EL25QJ-qdLQdGw&oe=6339833E,"유튜브 “주류학개론 - 재미있는 술의 비하인드 스토리”의 인스타그램 계정입니다.
👉🏻비지니스 문의 및 제안
drunkenman@tmcentkorea.co.kr",2022-09-28 16:37:40.352,11183,158,2,73.05462509662458,114.11224489795919,1.6122448979591837,,,,,,,,,,,,,,,,,,
퍼플독ㅣPurpleDog,2022-09-28,purpledog_official,17841407847590324,72,3416,69,http://www.purpledog.co.kr/,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/185509140_516680693034587_2493003973259871483_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=86c713&_nc_ohc=wM_FkgoLXgIAX_xO4sf&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8h8p47bQo-CcGZPDNEPDSK5ywZQHCzwC-rjE5UHCu7uw&oe=6338AF7A,"_Winebutlerservice
당신의 소울와인을 찾아 집까지 보내드립니다🍷
 
🔽 내 와인 취향 찾기",2022-09-28 16:37:40.352,1623,312,12,56.64519906323185,23.52173913043478,4.521739130434782,,,,,,,,,,,,,,,,,,
after9,2022-09-28,after9nwine,17841416197245714,1,140,18,,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/284767247_682665059496055_7044693684830096392_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=86c713&_nc_ohc=zVSaygMJQu8AX-d_J1G&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT81SU_-bXWj9YV528QiJ8mR0KW26-D5LsoXsE33ac59gA&oe=6339A0E7,"wineshop&tastingroom
wine seminar",2022-09-28 16:37:40.352,470,7,14,340.7142857142857,26.11111111111111,0.3888888888888889,,,,,,,,,,,,,,,,,,
달리 Dali 주류 스마트오더,2022-09-28,dali.official_,17841445511359388,2878,3470,216,https://www.daligo.co.kr/,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/271318169_492805755602922_4085816204680764690_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=86c713&_nc_ohc=Tt36UoHqevIAX8j_wo3&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT89w-IAwy83vt8n1gtALPC9eBdxPZltycFE7x9kFdJbXA&oe=6338341A,"좋은 술, 어렵지 않아요.
남달리 유쾌한 어른들의 주류 앱, 달리 Dali
 
즐거운 행사가 가득한 달리에서 맛있는 술을 주문하고 싶다면👇",2022-09-28 16:37:40.352,2942,130,11,88.53025936599424,13.62037037037037,0.6018518518518519,,,,,,,,,,,,,,,,,,
WSA와인아카데미,2022-09-28,wsa.wine.academy,17841403196274368,2580,4812,368,https://linktr.ee/wsawineacademy,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/82718695_3163285743736428_55089091201931293_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=qdYpNvca2ZwAX8wdGSu&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-Yuob345jmnctip2I45lKfdELJe5bj5iMIgOY-quQSHA&oe=63380659,"🍷국내 최초, 최대, 최고의 국제인증와인교육기관
🍷17년의 전통, 만 명의 동문
🍷수강일정 Linktree - WSET Schedule
🤘#매니져스타그램#문의사항 팔로우 후 !DM(아님못봐요🤣)",2022-09-28 16:37:40.352,6579,194,7,140.7522859517872,17.877717391304348,0.5271739130434783,,,,,,,,,,,,,,,,,,
루얼 잠실새내 와인샵&테이스팅룸,2022-09-28,luolle_jamsil,17841431842909760,1294,1657,317,http://linktr.ee/luolle_/,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/90323072_541470776499586_6037993242375487488_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=86c713&_nc_ohc=R9SobB-zSdMAX8uJqgL&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_a9g_FxMGcnZxM7h72h0thm8Fh4040YjocYbaJ31DSCA&oe=63384460,"🍷직수입 와인판매 바틀샵&와인쇼핑몰,
🍷와인모임,공간대여,파티룸,모임대관,
      생일파티룸,브라이덜샤워
🍷예약,대관 문의 DM 및 카톡 @playleon
 ☎️02-3432-7787
송파구 잠실동 198-7 B1",2022-09-28 16:37:40.352,1832,19,13,111.70790585395292,5.779179810725552,0.05993690851735016,,,,,,,,,,,,,,,,,,
Wine Folly,2022-09-28,winefolly,17841400935520240,1346,406192,3625,https://shopgr.id/winefolly,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/291099809_171986275292869_6693348921069921448_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=86c713&_nc_ohc=AZF04rCZXusAX9gmkt0&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8hFjmQCHPh5WS6ayWs_POHpTAr0cdP_WtVvhQlnS_ing&oe=6339C47D,"Wine EDU. But make it fun!
The #1 site for learning about #wine for beginners and beyond. Join the wine education newsletter, & get 50% off Wine 101!",2022-09-28 16:37:40.352,69207,2138,1,17.564353803127585,19.09158620689655,0.5897931034482758,,,,,,,,,,,,,,,,,,
테이스팅 와인샵 와인도어,2022-09-28,winedoor_official,17841444742294852,337,3505,410,https://www.youtube.com/channel/UCU4oFiZc7x8DqlkFeJOO31w,https://scontent-gmp1-1.xx.fbcdn.net/v/t51.2885-15/131377722_143680620657318_7773077553056580665_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=86c713&_nc_ohc=D9S7jlujiTUAX-0BZ8a&_nc_ht=scontent-gmp1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_z49llX8BqGPVHLGADdJbQR3CyLi_wy1x3vN9UMb36oQ&oe=63386276,"19년간 와인업계에 종사하신 대표님께서 리스트를 선정하고 8종 이상의 와인을 매일 시음할수 있는 ‘전문 테이스팅 와인샵’ 입니다.
✉️ DM 문의는 받지 않습니다 
📞 예약 010-6389-4908
🗝 비즈니스: Winedoor@naver.com
📺 유투브채널↓",2022-09-28 16:37:40.352,5253,62,10,151.64051355206848,12.81219512195122,0.15121951219512195,,,,,,,,,,,,,,,,,,
after9,2022-09-29,after9nwine,17841416197245714,1,143,19,,https://scontent-sjc3-1.xx.fbcdn.net/v/t51.2885-15/284767247_682665059496055_7044693684830096392_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=86c713&_nc_ohc=zVSaygMJQu8AX-RJ28k&_nc_ht=scontent-sjc3-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_K7hOoCJZW5QIeQ7iDEbTH13eKouTkk5lF3YV5Qqsnkw&oe=6339A0E7,"wineshop&tastingroom
wine seminar",2022-09-29 16:33:18.004,495,9,14,352.4475524475524,26.05263157894737,0.47368421052631576,,,,,,,,,,,,,,,,,,
테이스팅 와인샵 와인도어,2022-09-29,winedoor_official,17841444742294852,337,3513,411,https://www.youtube.com/channel/UCU4oFiZc7x8DqlkFeJOO31w,https://scontent-sjc3-1.xx.fbcdn.net/v/t51.2885-15/131377722_143680620657318_7773077553056580665_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=86c713&_nc_ohc=D9S7jlujiTUAX8Hp6Eq&_nc_ht=scontent-sjc3-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8fz1OtLF1esSFgFiSVE-61SOAJGfFq2gRDwO-7_k45Hw&oe=633A5CB6,"19년간 와인업계에 종사하신 대표님께서 리스트를 선정하고 8종 이상의 와인을 매일 시음할수 있는 ‘전문 테이스팅 와인샵’ 입니다.
✉️ DM 문의는 받지 않습니다 
📞 예약 010-6389-4908
🗝 비즈니스: Winedoor@naver.com
📺 유투브채널↓",2022-09-29 16:33:18.004,5154,61,10,148.4486194136066,12.540145985401459,0.14841849148418493,,,,,,,,,,,,,,,,,,
Wine Folly,2022-09-29,winefolly,17841400935520240,1345,406238,3626,https://shopgr.id/winefolly,https://scontent-sjc3-1.xx.fbcdn.net/v/t51.2885-15/291099809_171986275292869_6693348921069921448_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=86c713&_nc_ohc=AZF04rCZXusAX8eKqo5&_nc_ht=scontent-sjc3-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9XYweK2JlrLGbnQhuvHbu_fBUPJAosbRjtRO1w9n45jQ&oe=6339C47D,"Wine EDU. But make it fun!
The #1 site for learning about #wine for beginners and beyond. Join the wine education newsletter, & get 50% off Wine 101!",2022-09-29 16:33:18.004,67549,2147,1,17.156445236536218,18.629067843353557,0.5921125206839493,,,,,,,,,,,,,,,,,,
루얼 잠실새내 와인샵&테이스팅룸,2022-09-29,luolle_jamsil,17841431842909760,1294,1657,317,http://linktr.ee/luolle_/,https://scontent-sjc3-1.xx.fbcdn.net/v/t51.2885-15/90323072_541470776499586_6037993242375487488_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=86c713&_nc_ohc=R9SobB-zSdMAX_weFC8&_nc_ht=scontent-sjc3-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9hKMuptO3kHmeSvLUiIwjZ6UktcGepR0hxMm95v8xbMQ&oe=633A3EA0,"🍷직수입 와인판매 바틀샵&와인쇼핑몰,
🍷와인모임,공간대여,파티룸,모임대관,
      생일파티룸,브라이덜샤워
🍷예약,대관 문의 DM 및 카톡 @playleon
 ☎️02-3432-7787
송파구 잠실동 198-7 B1",2022-09-29 16:33:18.004,1832,19,13,111.70790585395292,5.779179810725552,0.05993690851735016,,,,,,,,,,,,,,,,,,
나라셀라 • NARA CELLAR,2022-09-29,naracellar,17841405690478812,102,9028,474,https://naracellar.com/,https://scontent-sjc3-1.xx.fbcdn.net/v/t51.2885-15/139566720_1507129532819956_3674880356484992410_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=UGXkQoV4gWEAX_0sSZ1&_nc_ht=scontent-sjc3-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_RtPe5u7yMLrS71r41tG75_SFmvRhfgR3eSlmVDv1O2A&oe=6339CD8C,"와인 문화를 선도하는 기업, 나라셀라 공식 인스타그램 계정입니다",2022-09-29 16:33:18.004,2881,100,4,33.0194949047408,6.078059071729958,0.2109704641350211,,,,,,,,,,,,,,,,,,
